Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
Otis College of Art and Design,Private,Far West,Large City,0.4628,22,1002,1029,0.2235,0.034,0.1331,0.3226,0.0058,52397,6936,0.4851,0.5731,0.157,10.2,26500,21.75,36748,9.460000038,42400
Otterbein University,Private,Great Lakes,Large Suburb,0.7374,24,1087,2436,0.8046,0.0628,0.0242,0.0148,0.0029,41646,7287,0.2546,0.5886,0.0867,6.5,22000,21.12000084,75737,5.78000021,37100
Ouachita Baptist University,Private,Southeast,Distant Town,0.7011,24,1090,1513,0.8434,0.08,0.039,0.0106,0.0066,31473,4598,0.2702,0.6022,0.0207,6.6,15000,19.59000015,71658,8.659999847,34600
Our Lady of the Lake University,Private,Southwest,Large City,0.6561,18,882,1509,0.116,0.0769,0.729,0.0093,0.006,33227,7587,0.5714,0.341,0.3029,9.5,17500,24.79000092,31566.5,14.98999977,35700
Pace University-New York,Private,Mid-Atlantic,Large City,0.7683,23,1043,7883,0.4784,0.1095,0.1615,0.0908,0.0033,50625,11627,0.3557,0.5146,0.1329,5.9,19500,21.48999977,50322,9.609999657,51000
Pacific Lutheran University,Private,Far West,Large Suburb,0.7676,25,1112,3062,0.7084,0.0278,0.0709,0.0607,0.0078,45299,7369,0.3086,0.7045,0.0971,2.7,22695,21.53000069,67839.5,7.090000153,42600
Pacific Union College,Private,Far West,Fringe Rural,0.5055,22,1017,1601,0.2698,0.0768,0.2698,0.1811,0.005,38800,6452,0.4393,0.4452,0.1471,5.7,20832,22.81999969,64885,8.300000191,44600
Pacific University,Private,Far West,Large Suburb,0.8619,24,1102,1729,0.5281,0.0139,0.1035,0.1313,0.011,47922,7478,0.3145,0.6156,0.0739,1.8,20758.5,21.01000023,66418,7.300000191,37200
Palm Beach Atlantic University,Private,Southeast,Mid-size City,0.8412,23,1061,2501,0.6126,0.1399,0.1307,0.0132,0.0036,37535,7362,0.3475,0.4667,0.1722,6,16297,24.42000008,57521,8.399999619,36000
Park University,Private,Great Plains,Large Suburb,0.9638,,,9723,0.6229,0.1556,0.1542,0.0185,0.0044,21351,6110,0.321,0.4345,0.6428,9.8,13500,29.53000069,34549,9.920000076,43600
